project,revision_hash,internal_quality,external_quality
archiva,7895d55853c13ab3879819bdb8285e514a16a6f3,False,False
archiva,88e4896ee99f1737c651a4bff9e85eb20ca1c566,True,False
archiva,97f22cd13c13ded508bb957b4fe7e206df6e6728,False,True
archiva,cbdc922f7df5e8dc10961a56de121dcb7ce406e2,True,False
archiva,d9d5b0d710e7df68fd5250e7c0abcc638c6bf527,False,False
archiva,74adedbe139b659fb0043761dc962025a2519424,False,True
archiva,633b14e20d47ddbb08c55f1a0843c8785b364937,True,False
archiva,9b37010349781fc3cec59789c913f76706a85759,True,False
archiva,88b4ca99fd1e941e0bae58d1e890db176df2aae4,False,True
archiva,1c437a85fb0feb25a0f386a715c7675e047e23c2,False,True
archiva,8312f1e85a120629eb5f284f5a3c85e75a0e4472,True,False
archiva,ac5290938afcca7465d0099f065981dd48d4d2bb,True,False
archiva,d225667efd86b18d41736f0e21c9f8734ef63f7d,False,False
archiva,faceef262c3521c1f27bfc49c7ab74c1b41a57ec,True,False
archiva,148e9f13411112cd0b42da381b5acbbd54dbbcc9,True,False
archiva,9c0bce139077a7b063c72421abf02fed40682a1e,False,True
archiva,1032b3d5d12bf8c8e9035c3017ddd3345b3ab7ca,True,False
archiva,003d5794a823d57b58ec26663fe145f31649ce31,False,False
archiva,d7ac5b2cd01db638e62cd659254ef9f48fd00029,False,True
archiva,3078e1af860b8ab78ff042d628505317c428899e,False,False
archiva,c671224fbb399b1cc027c756d58eba8856e6c794,True,False
archiva,7d343a62a79f78d6a1555c01f93892a2874273ee,False,True
archiva,9e46c25ca2ffab24e7fa902af987200741e20d4c,True,False
archiva,957679528e83d3efccfb93ef0fd1aee9a4964d8b,False,True
archiva,809047b3d835d48638330f73e1eb89c9ca02998f,False,False
archiva,09f8d89c57e49a7ab6a11d03ab379d2d2eeaa16c,True,False
archiva,5db9f4bdb20945cf14d5ab7fab7c91adf6ccc649,False,True
archiva,ec23b663697b7e1076ad9042c6cdf93356a60788,False,False
archiva,f196ce2e79c2f1848dc71849b452f9907ebfdb39,False,True
archiva,3332083d45ef4dfb9c1eeabf0239057c714fb269,False,False
archiva,4b9ef913f999b1d4fa9d953443f3c7ddfea9c018,False,False
archiva,4a2ab461c54d6b861d1b78321c224fa6cf1103f3,False,True
archiva,8c67ef5e755b9569d5b4edeba152a06d6e66443e,False,False
archiva,8c4f0a1503c592c3258acd2c090611c79968358b,True,False
archiva,353936a74f15cbbf8099ea4ac022d80ca741a2f0,True,False
archiva,d33893087638984f4c9081bc8985198ebced94fd,False,False
archiva,346583093493614302e3761b3de1c2d8ff67a806,True,False
archiva,f5554e04525667ba0c1ebb61dc5e0af5bf6b11e1,True,False
archiva,a20c40977674b97cb5bbf4caa2f2534be170e156,True,False
